acc	subtype	type
7852	1	entrez
10979	1	entrez
7991	1	entrez
5178	1	entrez
7106	1	entrez
7980	1	entrez
1410	1	entrez
10602	1	entrez
6004	1	entrez
8613	1	entrez
1893	1	entrez
5168	1	entrez
1116	1	entrez
9532	1	entrez
10418	1	entrez
23345	1	entrez
1847	1	entrez
5764	1	entrez
2823	1	entrez
5919	1	entrez
5873	1	entrez
50810	1	entrez
9459	1	entrez
3479	1	entrez
4692	1	entrez
23179	1	entrez
2770	1	entrez
4345	1	entrez
25878	1	entrez
10687	1	entrez
2625	1	entrez
9595	1	entrez
125	1	entrez
972	1	entrez
27295	1	entrez
7041	1	entrez
83604	1	entrez
3679	1	entrez
28755	1	entrez
6285	1	entrez
5272	1	entrez
11043	1	entrez
3071	1	entrez
7043	1	entrez
8076	1	entrez
91851	1	entrez
8728	1	entrez
969	1	entrez
7436	1	entrez
3119	1	entrez
3603	1	entrez
9750	1	entrez
9469	1	entrez
6696	1	entrez
3953	1	entrez
9353	1	entrez
199	1	entrez
719	1	entrez
6362	1	entrez
11314	1	entrez
7424	1	entrez
3779	1	entrez
4688	1	entrez
2191	1	entrez
8013	1	entrez
3082	1	entrez
1390	1	entrez
4973	1	entrez
919	1	entrez
6363	1	entrez
3486	1	entrez
2534	1	entrez
4068	1	entrez
3772	1	entrez
6356	1	entrez
5376	1	entrez
4772	1	entrez
5354	1	entrez
1136	1	entrez
10586	1	entrez
2999	1	entrez
931	1	entrez
6556	1	entrez
6095	1	entrez
8829	1	entrez
3624	1	entrez
9590	1	entrez
4240	1	entrez
3903	1	entrez
7035	1	entrez
10395	1	entrez
5329	1	entrez
6935	1	entrez
2213	1	entrez
942	1	entrez
28639	1	entrez
9103	1	entrez
10962	1	entrez
140597	1	entrez
3702	1	entrez
1305	1	entrez
2260	1	entrez
8572	1	entrez
7940	1	entrez
84525	1	entrez
3500	1	entrez
5730	1	entrez
29969	1	entrez
6320	1	entrez
2124	1	entrez
5744	1	entrez
2533	1	entrez
28831	1	entrez
10730	1	entrez
50802	1	entrez
1284	1	entrez
79026	1	entrez
3113	1	entrez
7837	1	entrez
715	1	entrez
1291	1	entrez
493	1	entrez
6383	1	entrez
4502	1	entrez
115207	1	entrez
4131	1	entrez
9444	1	entrez
23048	1	entrez
23213	1	entrez
25999	1	entrez
4628	1	entrez
5962	1	entrez
219654	1	entrez
22982	1	entrez
439921	1	entrez
23111	1	entrez
10486	1	entrez
23258	1	entrez
10000	1	entrez
1123	1	entrez
23180	1	entrez
3557	1	entrez
4239	1	entrez
23336	1	entrez
89927	1	entrez
26051	1	entrez
23500	1	entrez
83700	1	entrez
25822	1	entrez
3507	1	entrez
4684	1	entrez
23034	1	entrez
7373	1	entrez
23492	1	entrez
23024	1	entrez
221395	1	entrez
23158	1	entrez
57007	1	entrez
113146	1	entrez
23452	1	entrez
1052	1	entrez
112464	1	entrez
23331	1	entrez
57493	1	entrez
169611	1	entrez
29015	1	entrez
85453	1	entrez
25903	1	entrez
7074	1	entrez
6591	1	entrez
1794	1	entrez
2882	1	entrez
6091	1	entrez
57205	1	entrez
10154	1	entrez
79987	1	entrez
23194	1	entrez
26278	1	entrez
26011	1	entrez
10346	1	entrez
23228	1	entrez
57608	1	entrez
25907	1	entrez
57212	1	entrez
